gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
DPM1	ENSG00000000419	495.942750750174	517.316758421612	478.843544613024	0.925629291566015	-0.1114935755928	0.646601675114689	1
SCYL3	ENSG00000000457	66.8422780600402	67.1888265423781	66.5650392741699	0.990715907684222	-0.013456677570373	0.960094074636246	1
C1orf112	ENSG00000000460	617.283088048428	698.792101439714	552.075877335399	0.790043098938815	-0.339996736623873	0.352250429201394	1
FGR	ENSG00000000938	5.39778804435443	4.8090084331882	5.86881173328741	1.22037875683171	0.287328972213502	0.989696641517949	1
CFH	ENSG00000000971	116.825868897351	177.696771630951	68.1291467104716	0.38340115065211	-1.38307342810143	0.00478922474346003	0.44212576001271
FUCA2	ENSG00000001036	19.7305144720116	20.1322900061762	19.4090940446799	0.964077809266883	-0.0527785059908617	1	1
GCLC	ENSG00000001084	393.039567863992	372.137786479553	409.760992971544	1.10110020497491	0.138945766488236	0.787425419235724	1
NFYA	ENSG00000001167	1953.02038830232	2005.99855001854	1910.63785892933	0.952462233291083	-0.0702662064009595	0.844174937193023	1
STPG1	ENSG00000001460	15.6874882614421	14.2536434272001	16.8345641288356	1.18107094616316	0.240095629090314	0.773894539694701	1
NIPAL3	ENSG00000001461	223.409999986406	230.528159284159	217.715472548204	0.944420296523683	-0.0824990480482351	0.912179271446481	1
LAS1L	ENSG00000001497	1192.04123848085	1146.07062458557	1228.81772959707	1.07220070319961	0.100574986400722	0.677340929909535	1
ENPP4	ENSG00000001561	140.475559199598	114.462652779203	161.285884335913	1.40906994919148	0.494743231836902	0.155387714694987	1
ANKIB1	ENSG00000001629	325.757859889527	296.33272701047	349.297966192773	1.17873570603098	0.237240276127732	0.480937925667312	1
CYP51A1	ENSG00000001630	33.8001377601286	38.5800212291083	29.9762309849449	0.776988452311377	-0.364034937588881	0.47989854057348	1
KRIT1	ENSG00000001631	318.012767910034	285.442886829649	344.068672774342	1.20538534554438	0.269494430466668	0.412453025943309	1
RAD52	ENSG00000002016	23.4967689450452	23.3384469699093	23.6234265251538	1.01221073345677	0.0175096778417562	0.867657487322816	1
BAD	ENSG00000002330	8.25648607997994	8.42446068907799	8.1221063927015	0.964109952252673	-0.0527304063948285	0.950658648847585	1
LAP3	ENSG00000002549	584.557191596808	567.183127876382	598.45644257315	1.05513794956112	0.0774316303421272	0.845561811365975	1
CD99	ENSG00000002586	1117.66085864497	1220.71810716157	1035.21505983169	0.848037768718595	-0.237799575936591	0.419398603632881	1
MAD1L1	ENSG00000002822	296.333672164102	353.072470362438	250.942633605433	0.710739733822449	-0.492606739634449	0.16005076966744	1
LASP1	ENSG00000002834	412.640816899501	467.322230968747	368.895685644103	0.78938184661019	-0.341204752887909	0.283748949661498	1
SNX11	ENSG00000002919	338.707095048843	332.87463597773	343.373062305734	1.03153867911013	0.0447979182812742	0.988575616654591	1
M6PR	ENSG00000003056	836.040971706244	769.598893815858	889.194634018553	1.15540009368999	0.208392516777065	0.458538405190641	1
DBNDD1	ENSG00000003249	7.61072108997844	9.93832196173293	5.74864039257486	0.578431692463752	-0.789781494694306	0.312379411066339	1
ALS2	ENSG00000003393	162.735578234076	150.489824712652	172.532181051215	1.1464707423286	0.197199538140659	0.507477456261612	1
CASP10	ENSG00000003400	191.068378386506	197.713788997594	185.752049897635	0.939499722499856	-0.0900353593709737	0.776496989456028	1
CFLAR	ENSG00000003402	11190.1812588635	10691.6459151106	11589.0095338658	1.0839312885855	0.116273305807238	0.694441687564641	1
TFPI	ENSG00000003436	7.53887433710748	13.3950240506844	2.85395456624597	0.213060801940118	-2.23066289852077	0.00588553028816974	0.511698271517187
NDUFAF7	ENSG00000003509	185.037018712132	193.084040073083	178.599401623371	0.924982725427594	-0.112501672147772	0.638832034828387	1
RBM5	ENSG00000003756	1335.29969253024	1324.28595855848	1344.11067970765	1.01497012108378	0.0214372576580043	0.981885618857793	1
MTMR7	ENSG00000003987	6.41596248657077	5.76892691394842	6.93359094466864	1.20188573162614	0.265299739432834	0.812435315569172	1
ARF5	ENSG00000004059	252.320383407259	262.785266038397	243.948477302349	0.928318702870899	-0.107307910098679	0.869614008657818	1
SARM1	ENSG00000004139	37.5130582642187	42.3583029300496	33.6368625315539	0.794103167615135	-0.332601644524266	0.41323630942935	1
POLDIP2	ENSG00000004142	490.354602876006	472.490902472769	504.645563198595	1.06805350231622	0.0949839181799353	0.781629375974415	1
PLXND1	ENSG00000004399	545.454395589416	571.280548112117	524.793473571255	0.918626540507136	-0.122449629089341	0.676255382879492	1
AK2	ENSG00000004455	1404.15403889838	1292.45872999254	1493.51028602305	1.15555742815221	0.208588959720403	0.449250482385219	1
CD38	ENSG00000004468	14.8838894726236	5.06249422619589	22.7410056697657	4.49205562587949	2.1673757929842	0.0417840154847749	1
FKBP4	ENSG00000004478	1830.67771458518	1827.93653135811	1832.87066116684	1.00269928945786	0.00388900509769323	0.898966974235067	1
KDM1A	ENSG00000004487	850.636046490024	791.818077671452	897.690421544881	1.1337079145563	0.181048996100779	0.477154933656062	1
RBM6	ENSG00000004534	910.393834517049	878.575075058301	935.848842084048	1.06518938295848	0.0911099539864635	0.736783719316148	1
CAMKK1	ENSG00000004660	67.1795302891708	69.4649343219944	65.351207062912	0.940779800639933	-0.0880710102971011	0.776110517158864	1
RECQL	ENSG00000004700	364.642862591711	386.994501888528	346.761551154256	0.896037409994366	-0.158369128132749	0.565211404675355	1
CCDC132	ENSG00000004766	62.8027267737576	55.2798376892596	68.8210380413561	1.24495731026228	0.316096272952932	0.607253904736639	1
ARHGAP33	ENSG00000004777	578.204126360704	798.567082454313	401.913761485816	0.5032936747788	-0.990527628231962	0.187326880900386	1
