Gene	expressionCSF	expressionDOUBLE	expressionFC	pvalCSF	pvalDOUBLE	pvalAVERAGE
HOPX	146.228568656495	205.456833230286	0.711724	9.7252546082142e-05	0.000158307476126219	0.00012778
KLF8	33.1230048300016	53.5370974736265	0.618693	0.000241406221784926	2.9467202309042e-05	0.000135437
RXRA	262.818051924109	338.943915712458	0.775403	0.000136258572578205	0.000218648471315211	0.000177454
FOSB	7520.24907503544	12151.71601803	0.618863	0.000580976875154469	0.000473427654084511	0.000527202
ZNF252P	25.0333981150918	10.4940227735888	2.38549	0.00112611954394718	0.000853559286498515	0.000989839
RUNX3	8869.51261243418	9580.24688567682	0.925813	7.64393053345168e-05	0.00192820658658714	0.00100232
ETS2	6759.05587593834	8328.64105688361	0.811544	0.00165353049452406	0.00149195197911735	0.00157274
KDM5B	3118.93212357111	4371.29127134142	0.713504	0.00307227016514576	0.000504397588235571	0.00178833
C11orf95	125.751863587507	148.551017070904	0.846523	0.00225343298820191	0.00226896642556612	0.0022612
KLF13	2443.68794180429	3102.67142330218	0.787608	0.00440769246778881	0.00152153177760937	0.00296461
KLF3	1130.29209579329	1495.79081107528	0.755649	0.00460568292214161	0.0048100357379319	0.00470786
ZFP3	30.4566605936449	24.0427067905721	1.26677	0.00113454401291666	0.0118151606646049	0.00647485
SMAD7	337.755907086936	597.085598048615	0.565674	0.0146921866058203	0.000443636726577136	0.00756791
EGR2	21426.6407865001	20328.3070926997	1.05403	0.00031738496447306	0.0154109383911971	0.00786416
ZNF780B	58.3430101465017	54.3531056915354	1.07341	0.000153032495082013	0.015656430925794	0.00790473
ZNF682	25.8475369622962	16.2476840584836	1.59084	0.0139880877812047	0.00357236963673961	0.00878023
ZNF517	18.4213466544108	7.99231431038047	2.30488	0.0104367024412926	0.00776657573399123	0.00910164
AHRR	105.890716545534	150.075665887758	0.705582	0.00180959282466041	0.0167253998330145	0.0092675
ZNF629	31.751351949859	11.1785032726363	2.84039	0.027135351739162	0.00011807218179244	0.0136267
ZBTB10	408.150821941796	208.392046804768	1.95857	0.0295835326683826	0.00129220954665779	0.0154379
