gene	IFN-
BMI1	1.02158825873296
AKAP11	1.08058617654981
KB-1615E4.2	0.951738587608362
PPP1R18	0.926432458138861
DCAF13	0.965592058453225
HLA-DQB2	0.918009029688057
AC026806.2	1.04025067237624
RP11-686G8.2	1.00786781161027
SLC29A3	0.908664986362611
KDM2B	0.900427573965934
RP11-191L17.1	0.915672287988465
PPP1R3B	1.01783147872646
PRKCH	1.0204211482781
SCARNA17	0.909667003642446
RP11-723D22.3	1.24261665818403
PSME4	1.24599688522886
HMGB1	1.12485627459589
FOXP4	1.12252335077451
SEMA7A	1.26949795660267
PIKFYVE	1.31667045445528
SCN8A	1.26758277333223
TMX4	1.28249705485165
RUFY3	1.25892430946145
SMARCC2	1.05291393278314
WDR37	1.16708054346224
SH2D1A	1.10087815859511
IMPA1	1.15437083907262
KCNK6	1.09643331496167
MED4	1.17381193786658
NOTCH1	1.00909039064259
KIAA0513	0.997604829566852
RQCD1	0.92427716215329
GPHN	0.955566796749844
RP11-566K19.6	0.842030701075961
SPAG1	0.83773214534288
AP4S1	0.814316955170499
SOCS3	0.743862199609396
DPY19L1	0.725291921399707
DPYD	1.13849989993701
MRPS11	1.11872577530052
RP11-503E24.2	1.16936473670789
CTD-2619J13.16	1.08004990500209
AC007318.5	1.08940260626959
ESR2	1.16824968304038
CTA-445C9.15	1.01227093165968
BARD1	1.03367807025724
KB-173C10.2	0.943571059654075
RAB2B	1.08540326872954
RAB22A	1.0210396433336
DGKZ	1.01922740794089
CERS2	0.950493856054936
C5orf58	0.979863355309872
PIK3C3	1.04919772580295
MYO6	1.09548193388194
PPHLN1	1.04670160632902
EMB	1.16378595428439
LGALS8	1.19498503549169
UCP2	1.10635290369804
RGPD5	1.1162782983636
MIAT	1.03292845050449
AC004840.9	1.20390340943586
UBE2D3	1.23439362422851
CCNYL1	1.17268715566074
CEP128	1.24447245212847
ARHGAP26	1.21887508361554
CCR2	1.18168443439919
RRAGA	1.31184977583093
KLF9	1.30935112638118
ZSCAN16-AS1	1.27253269971191
RP11-47I22.1	1.28982760088333
ACSL3	1.28930562557505
FAM83D	1.30224093975791
RP1-153P14.5	1.20153205498092
R3HCC1L	1.12382506026998
DNTTIP2	1.07994904414775
SIAH2-AS1	1.07913415947132
RNF40	1.10051197140792
RP11-887P2.3	1.12126008879946
ZNF592	1.01773322834478
VPS4B	1.00023440396399
AXL	1.12892150593665
RAB8B	1.07646398296298
PHLDB2	1.13144840861072
SLC35E4	1.1144697579665
RP11-84C13.1	1.29175318351069
KIAA0232	1.32089369630592
ZNF587B	1.25886927291605
TAC4	1.27612549794902
GLRX5	1.29088965334296
ARHGAP17	1.34153262757259
RAB6A	1.35809143446695
LAX1	1.36002737349357
GSK3B	1.33208406071532
FDFT1	1.2845856155057
CTD-2647L4.4	1.19644679697776
PPP1R2	1.22092696074864
SLC25A44	1.22584179040946
RHOU	1.18400524155274
SMIM12	1.45729311904721
RMND5A	1.44931072873241
B4GALNT3	1.44593966831364
GABPB1-AS1	1.44587573326161
ARHGEF6	1.43337437203524
RP11-212P7.2	1.51838262462963
CLDND2	1.40762330743875
ARHGEF1	1.37823368348899
CTA-963H5.5	1.27462342004539
CNP	1.27607634287925
SIPA1L2	1.27127572366572
CPEB2	1.34018582376768
MIRLET7A1	1.65180073498658
FAM91A1	1.61365011120885
ZNF28	1.56363696420705
IL18RAP	1.5916422430179
IGF2R	1.72347754917037
PRDM4	1.72108606446007
HIC1	1.67314099906653
OTOF	1.68874809912916
TNFSF9	1.5634397814826
FBXO30	1.5772968356879
HPS5	1.58122314074877
M6PR	1.52121207682363
C11orf96	1.46471445559529
CYTH4	1.4601719543439
RAB11B	1.5075548847796
BMPR2	1.49344863758062
KCTD11	1.63666335977438
PPP1R1B	1.6102030948858
LBH	1.62773257450407
KIFC3	1.56262546781628
RB1CC1	1.55569097497893
CXCR3	1.56481335349264
RP11-288H12.4	1.54822015380651
TPRA1	1.60264210186361
RP11-182L21.6	1.57198403070564
SS18	1.61948658548731
IVNS1ABP	1.56097710217314
G2E3	1.58788149886427
ARRB2	1.63830670471496
AFAP1	1.56008787442977
TC2N	1.56638393150046
RP11-542M13.3	1.42929114350199
UBE2W	1.4384873296142
SRGAP2C	1.41817344789563
PAM	1.42145972919337
RP11-1114A5.4	1.34361915945585
DUSP10	1.39427796268902
TOX	1.26211062643115
FBXO33	1.21033662532895
IFNLR1	1.11370931460512
SLC35F3	0.947966993675187
TMEM160	0.913334167523344
MDFIC	1.32961905689157
MYL12B	1.29934482975973
SRRD	1.09000753147767
USP18	0.855913030161104
ICOS	0.966055093101915
CNEP1R1	1.17531658574788
TLE3	1.07698183485687
ALPK2	1.15565151913293
Z83851.3	1.17850073792367
KLF2	1.06153784311831
KB-1980E6.3	1.55343278482501
RP11-388P9.2	1.55285122331625
